BatSpecies,Site,Counts
CAPE,NICARAGUA,8
CAPE,SARDINA,5
EPBR?,NICARAGUA,17
EPFUR,ESCAMAQUITA,10
EPFUR,NICARAGUA,31
EUGL,NICARAGUA,5
EUMA,NEW_MEXICO,9
EUUN,NICARAGUA,3
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,8
LAEG,NICARAGUA,7
MOMO,NICARAGUA,1
MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,5
MOPR,NICARAGUA,4
MOSI,ESCAMAQUITA,6
MYNI,SARDINA,6
NOAL,SARDINA,5
NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,9
NOLE,NICARAGUA,4
PHDI,NICARAGUA,6
PHST,FINCA_GUADELUPE,3
PTGY,ESCAMAQUITA,17
PTGY,ESCAMECCA_GRANDE_HOT_SPRINGS,5
PTPA,ESCAMAQUITA,40
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,44
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,17
RHBI,ESCAMAQUITA,19
RHBI,SARDINA,2
RHDU,NICARAGUA,8
RHNA,SARDINA,6
STPA,ESCAMAQUITA,3
STPA,FINCA_GUADELUPE,2
TRCI,SARDINA,9
